Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node73,0.206594,0.184355,0.984053,0.147463,0.000441136,665.733,0.0155056,0.348578,0.277459,1.0
Node4,10.0,0.998835,0.0,0.998835,0.0,394.455,1.0,0.277544,0.299158,1.0
KJ002735,0.259158,0.232363,0.979122,0.226938,0.000320214,3.86963,0.0205581,0.174896,0.337898,1.0
HQ149331,0.235984,0.233822,0.948307,0.233753,0.0474108,434.098,0.00428242,0.174721,0.337975,1.0
Node3,0.0822036,0.0,0.938545,0.998634,0.0,1.44207,0.0614547,0.105493,0.372667,1.0
AB618669,0.184067,0.0693774,0.85821,1.0,0.134659,645.166,0.00713095,0.103312,0.373945,1.0
Node42,0.224719,0.152014,0.960297,0.157863,0.0230162,5.93257,0.0166869,0.0999694,0.375933,1.0
Node20,0.140691,0.0569206,0.884344,0.913944,0.109264,768.45,0.00639177,0.0596182,0.40355,1.0
Node53,0.978375,0.980455,0.0,0.9808,0.0,1.73158,1.0,0.0473919,0.413833,1.0
AY306138,0.117665,0.0628689,0.842947,0.0950838,0.0645823,1.04028,0.0924705,-0.000616701,0.5,1.0
Node23,0.284707,0.0370093,0.809088,1.0,0.0291309,1.3082,0.161781,-0.0146389,0.5,1.0
KF500111,0.44252,0.455981,1.0,0.542829,0.0,0.968939,0.0,0.0,1.0,1.0
KF500110,0.0792725,0.07766,0.604683,0.0827747,0.395317,109.166,0.0,0.0,1.0,1.0
KF500112,0.0373731,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF500109,0.249186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF500108,0.216775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.290227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF500102,0.0967283,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF500105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF500106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node10,0.174561,0.164769,1.0,0.980004,0.0,0.175348,0.0,0.0,1.0,1.0
AY821777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY337930,0.270436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY337928,0.0444427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ031272,0.58517,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ104328,0.393213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ776636,0.289283,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY927237,0.195095,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX255735,0.282498,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002736,0.100631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140846,2.13066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node34,0.0748185,0.0683935,0.670387,0.980781,0.0,0.0685284,0.329613,0.0,1.0,1.0
Node47,0.425463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB472011,0.16698,0.0868544,0.714982,0.383693,0.285018,49.6731,0.0,0.0,1.0,1.0
Node50,0.148173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN704304,0.212579,0.0,0.718743,0.999711,0.275032,0.99422,0.00622504,0.0,1.0,1.0
Node57,0.0644429,0.0470419,0.963288,0.672915,0.0367122,1.14143,0.0,0.0,1.0,1.0
KJ002737,0.126302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KC148540,0.0650328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ104327,0.213672,0.0,0.720868,0.874658,0.279132,0.844701,0.0,0.0,1.0,1.0
Node62,0.0814881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node60,0.112496,0.0939176,0.785739,0.112542,0.214261,0.674308,0.0,0.0,1.0,1.0
AF411840,0.201536,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node68,0.121591,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF058698,0.028326,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001111863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001111457,0.190645,0.195623,0.789323,0.204151,0.210677,2.69107,0.0,0.0,1.0,1.0
AJ430632,0.0710632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001111681,0.120752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node81,0.0525066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node71,0.218658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node65,10.0,0.0002,0.9808,0.9808,3.84e-06,49.6731,0.0191962,0.0,1.0,1.0
Node55,0.110478,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node29,0.0264529,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node19,0.0546354,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.180728,0.0786418,0.790293,0.938051,0.0,0.745336,0.209707,0.0,1.0,1.0
